reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d90645c6-a681-431f-aef1-d7c7a88da4d5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Capcut capucino centut,2,0,,2025-04-27 7:10:48,,,
3fe30fd2-597a-4272-bcdc-8c32c2eb74ff,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi ini sangat cocok untuk mengedit,5,1,,2025-04-27 1:52:50,,,
1f79ded1-9241-432c-81d1-ca52141c2ce5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jujurly ini apk nya bagus cuman apk nya tuh banyak sekali iklan jadi tolong untuk yang yang buat apk ini tolong perbaiki pengiklanan nya dan tolong ini iklan nya kenapa setiap export pasti iklan dulu tapi ttp aku suka karena ini bisa bikin jj² juga yg keren segitu dari aku byy😌🙏🏻,5,0,,2025-04-26 13:39:27,,,
1ffa57cf-6315-4262-9f4b-7b9a2c00b347,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"PRA PRO PRA PRO MUAK GW DENGERIN, LU KENAPA SIH SEMUANYA HARUS DIBAYAR MAU NAIK HAJI LO? EFEK JELEK AJA DI PRO, PRO ITU UNTUK EFEK BAGUS BUKAN UNTUK EFEK YANG JELEK TAIK, LIHATU ULASAN LO 3,8 DIKIT KAN, MAKANYA LU KURANGIN PRA PRO PRA PRO PELIT BANGET SIH!!!",1,1,14.2.0,2025-04-26 8:28:45,,,14.2.0
25fdbe8f-2dd2-42ed-a780-fd0ed4659bc7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apa apa Sekarang pro kadang iklan kadang ngebug buat apasih kek gitu punya utang atau gimana,1,4,14.0.0,2025-04-24 12:41:18,,,14.0.0
efce5a82-8bb6-43e3-a8ad-1b9b7e33bec2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Menurut saya menarik sih tapi mohon kurangi mb nya karna terlalu berat buat HP kentang yang kaya oppo samsung dan banyak lagi ini ku kasih bintang 5,5,0,,2025-04-23 14:06:51,,,
e4edd852-88bb-4cc3-a6d4-724a4bb718f7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Woi ini apa sih lu mau kebelet Sultan atau gimana masa semuanya berbayar udah gitu aplikasinya lemot ga bisa buat video harus pro ga kaya youtube terus juga filternya bayar iya sih youtube ada yang ga bayar cuman ini lebih banyak tapi banyak juga yang bayar cepet perbaiki!! padahal dulu bagus banget ini pakai ga lemot sekarang et dah,1,21,14.0.0,2025-04-23 13:30:04,,,14.0.0
512550e2-5910-4d5c-a398-2d1adee2fa24,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Loding,5,0,,2025-04-23 11:17:05,,,
84f5ecba-3774-407f-ae09-655c941ae971,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"POKONYA BAGUSSS BGGTTTT, TAPI SARAN AKU YANG PRO NYA DI KURANGIN LAHH,",2,7,14.1.0,2025-04-23 6:22:12,,,14.1.0
942dadb0-c98c-4466-99ce-957971846bd7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,". Hapus Cache Aplikasi Cache adalah ruang penyimpanan sementara pada perangkat yang berfungsi mempercepat loading sistem aplikasi. Agar CapCut bisa melakukan proses ekspor video yang sudah diedit, cobalah untuk menghapus singgahan aplikasi tersebut. ADVERTISEMENT Cara hapus cache aplikasi CapCut pada ponsel Android bisa disimak pada rincian berikut ini. Buka menu Settings di aplikasi Android. Gulir layar dan klik Apps. Pilih aplikasi CapCut pada daftar aplikasi yang muncul. Pilih ‘Storage",2,0,,2025-04-22 11:12:58,,,
